ANID,Chemgrp,Site_Country,Site_State,Site_Name,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Th
PSE070,RAM,Argentina,Salta,Ramadas,37247.8,4207.3,207.7,890.8,6571.1,79.8,324.8,6.1,42.5,26.5,31.6,7.3
PSE072,CPA,Argentina,Catamarca,Cueros de Purulla,39916.6,10964.1,1015.9,626.9,9387.2,57.8,175,331.6,27.3,163.8,32.4,21.7
PSE073,CPA,Argentina,Catamarca,Cueros de Purulla,32509.7,8597.3,877.9,541.8,8939,54.1,171.6,312.4,26.1,156.4,31.5,19.4
PSE074,CPA,Argentina,Catamarca,Cueros de Purulla,40884.7,12002.6,1040,673.1,10094.4,59.4,183.2,341.3,28.6,161.6,32.6,21
PSE075,CPA,Argentina,Catamarca,Cueros de Purulla,39637.7,10761.5,974.6,573.5,9136.1,50.3,168.4,317.1,25.8,153.3,33.8,19
PSE077,CPA,Argentina,Catamarca,Cueros de Purulla,36117.7,10872,986.8,581.1,9172.3,60.1,164.3,330.3,26.3,157.8,32.9,20.2
PSE078,CPA,Argentina,Catamarca,Cueros de Purulla,30105.3,7552.7,729.5,400.8,7901.3,45.7,159.1,294.4,24.3,147.9,30.3,18.3
PSE079,CPA,Argentina,Catamarca,Cueros de Purulla,33043.9,8783.6,963.2,513.9,8797,49.1,167.5,311.6,26.5,152.4,31.1,19.5
PSE081,CPA,Argentina,Catamarca,Cueros de Purulla,38849.5,10646.4,1005.9,611.2,9270.9,56.8,170.4,325.7,27.8,155.5,32.7,18.8
PSE082,CPA,Argentina,Catamarca,Cueros de Purulla,21910.6,5484.4,560,353.9,7012.9,41.6,144.6,259.5,22.2,134.8,28.8,18
PSE083,CPA,Argentina,Catamarca,Cueros de Purulla,39819.2,11852.2,1076,659.4,9554,56.7,175.7,336.1,27.4,162.7,33.7,21.1
PSE087,CPA,Argentina,Catamarca,Chascon,38532.9,9957,962.8,644.8,7638.4,48.6,175.5,327.2,27,145.2,34.6,22.4
PSE088,CPA,Argentina,Catamarca,Chascon,39074,11548.5,1174.8,657.6,9982.1,51,172.4,353.5,28.5,139.1,34.9,20.1
PSE091,CPA,Argentina,Catamarca,Chascon,39519.8,10558.8,892.7,681.5,8136.8,54.2,179,308.2,28.4,142.2,34.1,19.9
PSE093,CPA,Argentina,Catamarca,Chascon,37341.5,9610.7,946.5,623.6,8168.9,54,166.4,339.2,26,143.2,33.4,19.8
LICA01,SALTARA,Chile,Atacama,Salar de Tara,36998.8,7707,1081,492.4,10180.4,65.6,209.4,147.3,37.6,188.4,24.8,22.4
TARA01,SALTARA,Chile,Atacama,Salar de Tara,33130.2,6066.5,797,427.5,9570,61.5,200.5,138.5,36.3,191.2,20.9,21.8
